;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
329;0001771364-20-000007;2020-05-20;2020-05-18;2020-05-20T21:16:47.000Z;;4;;;;4586;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
330;0001771340-20-000006;2020-05-19;2020-05-15;2020-05-19T20:58:34.000Z;;4;;;;8609;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
331;0001790565-20-000006;2020-05-13;2020-05-11;2020-05-13T21:31:26.000Z;;4;;;;8423;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
332;0001771340-20-000005;2020-05-13;2020-05-11;2020-05-13T21:10:29.000Z;;4;;;;15656;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
333;0001790565-20-000005;2020-05-08;2020-05-06;2020-05-08T19:53:15.000Z;;4;;;;8811;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
334;0001564590-20-023655;2020-05-08;2020-05-07;2020-05-08T17:13:27.000Z;34;8-K;001-34756;20861706;1.01,2.03;164376;1;1;tsla-8k_20200507.htm;8-K
335;0001564590-20-022062;2020-05-06;2020-04-30;2020-05-06T17:22:42.000Z;34;8-K;001-34756;20853702;8.01,9.01;180508;1;1;tsla-8k_20200430.htm;8-K
336;0001584518-20-000005;2020-05-04;2020-04-30;2020-05-04T21:17:55.000Z;;4;;;;8372;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
337;0001811230-20-000002;2020-05-04;2020-05-04;2020-05-04T20:56:48.000Z;;4;;;;7727;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
338;0001811230-20-000001;2020-05-04;2020-04-23;2020-05-04T20:38:37.000Z;;3;;;;4591;0;0;xslF345X02/edgardoc.xml;PRIMARY DOCUMENT
339;0001193125-20-128995;2020-04-30;;2020-04-30T17:22:53.000Z;33;424B5;333-231168;20836896;;206924;0;0;d865486d424b5.htm;424B5
340;0001564590-20-019931;2020-04-30;2020-03-31;2020-04-30T06:26:18.000Z;34;10-Q;001-34756;20833021;;15059330;1;1;tsla-10q_20200331.htm;10-Q
341;0001564590-20-019776;2020-04-29;2020-04-29;2020-04-29T16:56:22.000Z;34;8-K;001-34756;20831227;2.02,9.01;17911322;1;1;tsla-8k_20200429.htm;8-K
342;0001564590-20-018984;2020-04-28;2019-12-31;2020-04-28T07:01:05.000Z;34;10-K/A;001-34756;20822228;;2729904;1;1;tsla-10ka_20191231.htm;10-K/A
343;0001104659-20-050982;2020-04-24;;2020-04-24T16:05:21.000Z;34;SC 13G;005-85943;20814964;;166288;0;0;tm2016845d1_sc13g.htm;SC 13G
344;0001564590-20-018196;2020-04-23;2020-04-23;2020-04-23T16:10:40.000Z;34;8-K;001-34756;20811128;5.02,9.01;175014;1;1;tsla-8k_20200423.htm;8-K
345;0001771364-20-000006;2020-04-21;2020-04-17;2020-04-21T21:21:38.000Z;;4;;;;4587;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
346;0001790565-20-000004;2020-04-15;2020-04-13;2020-04-15T19:20:53.000Z;;4;;;;9861;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
347;0001564590-20-014992;2020-04-02;2020-04-02;2020-04-02T16:09:37.000Z;34;8-K;001-34756;20769036;2.02,7.01,9.01;177058;1;1;tsla-8k_20200402.htm;8-K
348;0001771364-20-000005;2020-03-19;2020-03-17;2020-03-19T21:22:18.000Z;;4;;;;4587;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
349;0001564590-20-011823;2020-03-19;2020-03-19;2020-03-19T16:56:17.000Z;34;8-K;001-34756;20729138;7.01,9.01;173620;1;1;tsla-8k_20200319.htm;8-K
350;0001771340-20-000004;2020-03-09;2020-03-06;2020-03-09T21:41:22.000Z;;4;;;;5448;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
351;0001771340-20-000003;2020-03-09;2020-03-05;2020-03-09T20:50:17.000Z;;4;;;;29248;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
352;0001584518-20-000004;2020-03-09;2020-03-05;2020-03-09T20:32:34.000Z;;4;;;;13749;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
353;0001790565-20-000003;2020-03-09;2020-03-05;2020-03-09T20:16:52.000Z;;4;;;;18865;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
354;0001771364-20-000004;2020-03-09;2020-03-05;2020-03-09T19:16:00.000Z;;4;;;;38955;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
355;0001771340-20-000002;2020-02-25;2020-02-21;2020-02-25T20:51:13.000Z;;4;;;;11960;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
356;0001790565-20-000002;2020-02-24;2020-02-20;2020-02-24T21:50:58.000Z;;4;;;;51354;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
357;0001790565-20-000001;2020-02-24;2020-02-20;2020-02-24T21:25:08.000Z;;4;;;;20293;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
358;0001771364-20-000003;2020-02-19;2020-02-14;2020-02-19T20:52:12.000Z;;4;;;;8620;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
359;0001771364-20-000002;2020-02-19;2020-02-18;2020-02-19T20:33:29.000Z;;4;;;;4587;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
360;0001494730-20-000002;2020-02-19;2020-02-14;2020-02-19T20:20:55.000Z;;4;;;;4904;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
361;0001494730-20-000001;2020-02-19;2020-02-14;2020-02-19T20:02:37.000Z;;4;;;;4873;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
362;0001564590-20-005288;2020-02-19;2020-02-13;2020-02-19T16:15:53.000Z;34;8-K;001-34756;20629882;1.01,3.03,8.01,9.01;654234;1;1;tsla-8k_20200213.htm;8-K
363;0001193125-20-038536;2020-02-14;;2020-02-14T16:59:35.000Z;34;SC 13G/A;005-85943;20621530;;41508;0;0;d891634dsc13ga.htm;AMENDMENT NO 9. ON SCHEDULE 13G
364;0000080255-20-001204;2020-02-14;;2020-02-14T13:30:26.000Z;34;SC 13G/A;005-85943;;;7024;0;0;tsla13gadec19.txt;
365;0001193125-20-036491;2020-02-14;;2020-02-14T06:26:22.000Z;33;424B5;333-231168;20613649;;360858;0;0;d861752d424b5.htm;424B5
366;0001422849-20-000119;2020-02-14;;2020-02-13T21:26:22.000Z;34;SC 13G/A;005-85943;20613381;;8361;0;0;edgtsla.txt;SC 13G/A
367;0001193125-20-034289;2020-02-13;;2020-02-13T07:55:26.000Z;33;424B5;333-231168;20607007;;363018;0;0;d861752d424b5.htm;424B5
368;0001564590-20-004475;2020-02-13;2019-12-31;2020-02-13T07:12:18.000Z;34;10-K;001-34756;20606921;;29961626;1;1;tsla-10k_20191231.htm;10-K
369;0001104659-20-013393;2020-02-10;;2020-02-10T15:13:17.000Z;34;SC 13G/A;005-85943;20591588;;153940;0;0;a20-6901_12sc13ga.htm;SC 13G/A
370;0000315066-20-001263;2020-02-07;;2020-02-07T11:32:19.000Z;34;SC 13G/A;005-85943;20585985;;8531;0;0;filing.txt;
371;0001584518-20-000003;2020-02-05;2020-02-03;2020-02-05T21:48:07.000Z;;4;;;;25384;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
372;0001088875-20-000042;2020-02-03;;2020-02-03T10:03:44.000Z;34;SC 13G/A;005-85943;20567243;;11162;0;0;teslainc31122019.txt;
373;0001564590-20-002489;2020-01-29;2020-01-29;2020-01-29T17:12:18.000Z;34;8-K;001-34756;20559026;2.02,9.01;18902300;1;1;tsla-8k_20200129.htm;8-K
374;0001771364-20-000001;2020-01-21;2020-01-17;2020-01-21T20:49:26.000Z;;4;;;;4587;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
375;0001584518-20-000002;2020-01-06;2020-01-02;2020-01-06T18:47:07.000Z;;4;;;;16629;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
376;9999999997-20-000038;2020-01-03;;2020-01-03T08:50:59.000Z;34;CT ORDER;001-34756;20503394;20200103,20200103;119495;0;0;filename1.pdf;
